"id","abv","brewed_at_id","brewery_id","calories","description","ibu","img_url","mean_rating","name","num_ratings","overall_rating","retired","seasonal","beer_style_id","beer_style_rating","url"
"1,316",8,,"6,027",240,Scottish Ale made with homegrown willamette hops.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_177323.jpg",3.64,Hair of the Dog Will,38,93,false,Special,67,98,/beer/hair-of-the-dog-will/177323/
"1,318",8,,"4,230",240,"This Scottish-style wee heavy ale is deep ruby in color, full in body with a sweet, malty finish. A great beer for late Fall or early Winter. If it ain't Scottish it's...!",20,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_114191.jpg",,Devils Backbone Kilt Flasher Wee Heavy Scottish Ale,75,87,false,,67,98,/beer/devils-backbone-kilt-flasher-wee-heavy-scottish-ale/114191/
"1,320",5.3,,"7,376",159,"Pours with a light beige head on a dark amber beer.  Aroma is of smooth malt along with a smoky background leading to a mouthful of deep, roasted malt flavor.  Ends long and smooth with a sweet malt aftertaste.",26,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_66459.jpg",3.6,Kenai River Skilak Scottish,21,89,false,,67,98,/beer/kenai-river-skilak-scottish/66459/
"1,321",9,,"12,659",270,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_161003.jpg",,Sun King Wee Muckle,56,85,false,,67,97,/beer/sun-king-wee-muckle/161003/
"1,323",6.5,,"6,099",195,"Experience a world of hearty flavors and aromas with this special winter beer. This brew starts as a Scottish ale featuring European and Domestic malts,
giving Hullabaloo intriguing caramel and roast nuances. A blend of American and English hops delivers ample bitterness & unique hop profile. This is a big, rich beer with a nice, underlying complexity ?? Toast to the Season!",39,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_189117.jpg",,Hangar 24 Seasonal: Hullabaloo Winter Beer,43,81,false,Winter,67,96,/beer/hangar-24-seasonal-hullabaloo-winter-beer/189117/
"1,324",7,,928,210,"True to the Norgrove's Scottish Heritage, this Wee Heavy is brewed with Scottish malts and lightly hopped with East Kent Goldings. Big and Malty sweet, this ale will have you hearing bagpipes.

2013 Great American Beer Festival - BRONZE
2001 California State Fair - SILVER
2000 California State Fair ?? GOLD",17,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_1612.jpg",,Bear Republic Heritage Ale,151,82,false,,67,97,/beer/bear-republic-heritage-ale/1612/
"1,327",6.2,,"13,573",186,"The 13th release in our 15 beers series was brewed in 1999. We found a shilling sitting on the counter of our homebrew supply store one day and had no idea how it got there. We joked around that it was a sign to brew a Scottish Ale because the strength of them are based on shillings. We soon came to realize we were meant to brew our version to be ""one"" more than the traditional 90 shilling",32,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_188552.jpg",3.51,Two Brothers Export 91 Shilling Scottish Ale,19,79,false,,67,89,/beer/two-brothers-export-91-shilling-scottish-ale/188552/
"1,328",5.8,,"11,848",174,"This beer is indeed a full-bodied Strong Ale; a Hybrid between a Porter and a Scottish Ale?? 
 This hearty winter warm ale is named in honor of American poet Henry Longfellow.
 I remember the black wharves and the ships, and the sea tides tossing free????. And the beauty and mystery of the ships, and the magic of the sea.  ????My Lost Youth??",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_8973.jpg",,Shipyard Longfellow Winter Ale,261,80,false,,67,96,/beer/shipyard-longfellow-winter-ale/8973/
"1,329",7.4,,"11,335",222,"A strong Scottish Ale brewed using crisp English pale malt, medium crystal, and a touch of roasted barley.  Willamette and Styrian Golding hops round out the robust, rich malt character.  A big beer with big flavor.  Grab this beer by the horns.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_213535.jpg",3.47,Rubicon Angry Angus,24,82,false,,67,96,/beer/rubicon-angry-angus/213535/
"1,330",5.8,,667,174,"A Scottish ale with San Diego spirit.
Our Piper Down Scottish Ale hits all the right notes for the Ballast Point Bagpipe Corps that inspired it. We created this very low hopped, malty ale for the band to enjoy using UK Maris Otter malt, roasted barley, UK hops and low fermentation temperatures. Then we let the brew's sweet complexity build over a three-hour boil. Full of roasted caramel flavor, it's a pub classic with Ballast Point personality.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_74646.jpg",,Ballast Point Piper Down Scottish Ale,262,79,false,Special,67,96,/beer/ballast-point-piper-down-scottish-ale/74646/
"1,331",5.4,,"12,659",162,"Java Mac is a Scottish style brown ale that has been infused with fresh locally roasted Kuai coffee from B Java Coffee right here in Indianapolis. Java Mac is the same easy drinking brown ale the Wee Mac is, but with the added deliciousness of coffee. The Kuai blend has a nice nutty character that compliments the existing hazelnut and toffee character and adds even more depth to our delicious Scottish Ale.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_111742.jpg",3.5,Sun King Java Mac,23,84,false,Special,67,96,/beer/sun-king-java-mac/111742/
"1,333",7.8,,"4,435",234,"Produced in the style of a Scottish Export Ale this beer is big on taste and body. Imported Scottish Ale Malt is 
combined with Peat Smoked Barley to give this beer a unique taste and aroma. Golding and Fuggles Hops help to balance out the taste of this unique beer. O.G. 1.080",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_10331.jpg",3.48,Dragonmead 90 Shilling Scotch Export Ale,21,81,false,,67,95,/beer/dragonmead-90-shilling-scotch-export-ale/10331/
"1,334",6,,"12,209",180,"Scottish Special Export Ale is an authentic version of the classic full bodied Scottish ale that is brewed for export (The Scots tend to prefer lower alcohol brews themselves).  As with traditional Scottish ales, it has an upfront malt accent with a restrained fruitiness?? it's a ??quaffable?? easy-drinking ale, despite the ramped up 6% alcohol content.  Brewed with Scottish ??Golden Promise?? to deliver the slight vanilla and biscuit character and balanced with imported UK hops.    

Flavor Description: Smooth, malty and lightly fruity with subtle notes of ??vanilla?? and ??toast??, a very drinkable ale for the spring season.  

6.0 % Alcohol by volume",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_87590.jpg",3.46,Southampton Scottish Special Export Ale,16,77,false,,67,90,/beer/southampton-scottish-special-export-ale/87590/
"1,335",8.3,,"8,828",249,"Full Curl Scotch Ale is brewed in the traditional Wee Heavy Scotch strong ale style. (This is not to be confused with the lighter-bodied Scottish ale style.) All about malt, Full Curl pours dark brown with a tan head. Its medium body provides sustenance while its strength boosts courage. With a stiff mug of Full Curl under your belt, you may even have what it takes to don a kilt.",20,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_2446.jpg",3.46,Midnight Sun Full Curl Scotch Style Ale,26,81,false,Special,67,95,/beer/midnight-sun-full-curl-scotch-style-ale/2446/
"1,336",11.3,,"11,957",339,Salted Caramel Scotch-Style Ale,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_473144.jpg",3.58,Sierra Nevada Trip in the Woods: Islay  Fog,10,77,false,,67,94,/beer/sierra-nevada-trip-in-the-woods-islay-fog/473144/
"1,340",5,,"3,110",150,A hearty medium to full body ale with a rich toasted malty flavor.  Features a soft caramel texture and low bitterness.  A small amount of smoked malt was added for character.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_29616.jpg",3.42,Carlyle Scottish Ale,24,72,false,,67,93,/beer/carlyle-scottish-ale/29616/
"1,341",5.7,,"12,964",171,"Traditional Scottish ales are malt-focused with distinct caramel-sweetness, sometimes nutty, biscuity, with subtle earthy, roasty, even peat-smoky layers. Ours is too thanks to authentic Scottish ingredients, but also hoppier than expected. We made the odd choice of American Cascade hops to add a unique citrus and black currant twist. You're gonna love this laid-back but deceptively delicious brew.
 
For The Nerds: 
ABV: 5.7% 
Colour: mostly clear copper with lasting beige foam and lace 
BJCP Style: 9C. Scottish Export 80/- 
Notable Ingredients: Scottish Golden Promise Malt, small specialty malt additions, Cascade hops, UK ale yeast
.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_158665.jpg",3.43,The Civil Life Scottish Ale,19,72,false,,67,92,/beer/the-civil-life-scottish-ale/158665/
"1,342",,,"1,770",,"2-Time Real Ale Festival Medal Winner 
Our Scottish Ale combines the flavor of seven types of malt along with three varieties of hops to create a rich, full-bodied brew. A touch of vanilla brings all these flavors together. Try it with our Gorgonzola Pear Salad or our Pork Chop! 
O.G. 1066 I.B.U. 30",30,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_3619.jpg",,Boscos Isle of Skye Scottish Ale,111,73,false,,67,92,/beer/boscos-isle-of-skye-scottish-ale/3619/
"1,343",,,"5,265",,Four Peaks Kilt Lifter aged in a Four Roses Bourbon Barrel.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_107145.jpg",3.74,Four Peaks Kilt Lifter Scottish Style Ale  - Bourbon Barrel,10,84,false,Special,67,93,/beer/four-peaks-kilt-lifter-scottish-style-ale--bourbon-barrel/107145/
"1,344",5.8,,"13,439",174,"It is a dark amber colored, Full bodied strong ale. English caramel malt and Briess maltings special roast impart the color and heavy malt character. Previously at 7.1%",20,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_2746.jpg",3.46,Triple Rock Tree Frog Ale,32,82,false,,67,93,/beer/triple-rock-tree-frog-ale/2746/
"1,348",6,,"14,562",180,"Yakima Craft Brewing Co.'s Twin Stag is a dark and brooding brew. Mysterious and complex, this robust ale is perfect as a compliment to good conversation and long, bold tales.",21,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_102037.jpg",3.52,Yakima Twin Stag,20,81,false,,67,92,/beer/yakima-twin-stag/102037/
"1,350",5.2,,"4,698",156,"Poison dwarves is what Keith Richards and others have called the tough little street fighting men of Glasgow. Ruthlessly hoppy for a Scottish ale, brewed with Pale, Crystal, Special B malts and brown sugar. Bittered with Centennial and finished with Cascade hops.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_65270.jpg",3.53,Elysian Poison Dwarf Scottish-style Ale,18,80,false,,67,92,/beer/elysian-poison-dwarf-scottish-style-ale/65270/
"1,351",7,,"3,216",210,"Our Scotchtown Ale is COTU's take on a classic Scottish-style ale. Brewed with eight different malts, including roasted barley and smoked malt, Scotchtown is a distinctly malt-forward beer. East Kent Goldings hops add a subtle bitterness, just enough to balance the rich malt flavor.",38,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_203001.jpg",3.44,Center of the Universe Scotchtown,14,76,false,Spring,67,91,/beer/center-of-the-universe-scotchtown/203001/
"1,352",5.2,,"9,720",156,"A well balanced, decidedly delicious, malt forward copper color red ale, with a dry roasted finish. Brewed with primary base malt maris otter, along with select malts crystal 120, crystal 40, munich, chocolate and roasted barley along with a hop blend of warrior, uk progress and willamette.",20,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_285832.jpg",3.43,Old Firehouse Code 3,13,69,false,,67,91,/beer/old-firehouse-code-3/285832/
"1,355",5.4,,"11,316",162,The Brewer's special blend of four unique malts including chocolate & carmel malt.  A light taste of coffee with a sweet finish makes this one of our best selling beers.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_7239.jpg",,Calumet Dark,90,98,false,,61,100,/beer/calumet-dark/7239/
"1,362",5.5,,"13,711",165,"The Dunkel style is what many refer to as the original beer of Munich and the surrounding countryside and villages (Dorf in German) of Bavaria. This everyday beer ranges in color from amber to dark brown, depending on the amount of Munich and roasted malts used. Ours is a deep reddish brown with a rich malty flavor. The sweetness of the malt is balanced by the use of another Bavarian friend...the Hellertau hop...in this specific case Hersbrucker grown near Wolnzach, Hallertau.  OG 13.2 Plato (Willi Becher)",20,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_185572.jpg",,Urban Chestnut Dorfbier,47,92,false,,61,100,/beer/urban-chestnut-dorfbier/185572/
"1,363",6,,"6,290",180,"Very few American breweries produce dunkels, so we've taken it upon ourselves to help set things right. This is the beer that made Munich famous. The challenge is getting the color right without using too much black malt, as this beer shouldn't display that character. We use 90% Munich Malt in the grist, along with a small amount of Amber and Caramel Malt and less than 1% Carafa (a German Black Malt). The beer is dark brown/red in color, with both malt and subtle hop aromas. The beer shows strong and complex malt character, with a hint of milk chocolate. The hops take a back seat to the malt, and only keep things in balance. This beer is great with aged cheeses like cheddar and gouda, sauteed mushrooms, or braised meats and sausage.  (1.014 BG, 6.00%, 24 IBU, 14 SRM)",24,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_92828.jpg",3.64,Heater Allen Dunkel,36,92,false,,61,100,/beer/heater-allen-dunkel/92828/
"1,365",6.5,,"10,391",195,"Collaboration Stein beer from Tomme Arthur and Tonya Cornett of Bend Brewing. 
It's not too often the brewing process requires us to make beer in a mind over matter sort of way. Hot Rocks Lager presented us an opportunity to work with Tonya Cornett of Bend Brewing Co. on a collaborative project. Working with our brewers to bring her recipe to fruition, she decided to ""Rock It"" old school. You see, not too long ago, brewers produced beers by pulling glowing orange rocks from raging fires. The sizzling rocks were heated until they glowed like  hot magma and were then dropped into the wort causing it to boil. Smoke, steam and volcanic rolling boils became the hallmarks of what German brewers call ""Stein Beer"". Hot Rocks Lager was brewed this way and transported us back in time. The production of this beer made for a memorable experience. As collaborations go, this one ruled. Because as everyone knows, playing with fire is cool.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_100664.jpg",,Port Brewing Hot Rocks Lager,511,89,false,,61,100,/beer/port-brewing-hot-rocks-lager/100664/
"1,366",6.1,,"8,749",183,This nutty sweet Munich original dark lager is spiced with rye to create a new reason to drink local.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_173153.jpg",3.64,Metropolitan Arc Welder Dunkel Rye,31,91,false,,61,100,/beer/metropolitan-arc-welder-dunkel-rye/173153/
"1,370",5.7,,503,171,"The Czechs are famous for the golden lagers of Pilsen and Budweis,
but also have a history of dark versions. While some have a dark red hue, and are typically identified as ??garnet??, there are also versions that are closer to black with a rich, spicy flavor. The most famous in that vein is the house beer at U Fleku, the 15th-century brewpub in Prague, and oldest brewpub in the world.

 Stag Series #5 is modeled after the famous dark lagers of Bohemia.
Our version features dark bread and caramel flavors that are accentuated
by a decoction mash, and balanced by the spicy Saaz hops.

 Ingredients:
Malts: Floor malted Bohemian Pilsner, Light Munich, Caramunich, Carabohemian, Carapils
Bittering Hops: Saaz
Aroma Hops: Saaz

 Stats 
 ?? Original Gravity: 14.0? Plato
 ?? 5.7% Alcohol By Volume
 ?? 30 International Bitterness Units
 ?? 50 SRM
 ?? Serve in a becker pint or glass",30,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_166753.jpg",3.58,Schell Stag Series  #5 - Czech-Style Dark Lager,20,90,false,,61,99,/beer/schell-stag-series-5--czech-style-dark-lager/166753/
"1,373",5.5,,"14,584",165,"Rich, deep and complex, our Munich Dunkel is many things, but heavy isn't one of them. This classic German dark lager is the beer style that started it all for our Brewmaster. Take the time to savor it slowly and you'll find flavors of biscuits, cocoa and caramel. To enjoy life on the dark side, just say??YEE-HAW!",27,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_351150.jpg",3.57,Yee-Haw Dunkel,19,86,false,,61,99,/beer/yee-haw-dunkel/351150/
"1,375",5.6,,"2,726",168,"Brooklyn Insulated Lager is your protection against biting wind and soggy weather. German Munich, roasted Carafa, and Pilsner malts create a nimble, racy body, while a helping of American black barley adds just a hint of roast coffee. A light dry hopping of American and German hops pitter-patters across the nose and dives into the dry, warming finish. Try it with dark breads, hearty meats, and sturdy cheddars. If you still feel the chill, just add another layer and enjoy your insulation.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_369363.jpg",,Brooklyn Insulated Lager,165,85,false,Winter,61,99,/beer/brooklyn-insulated-lager/369363/
"1,401",5.9,,"1,774",177,"Created by Corey Martin. Corey has been working on his Munich Dunkel for some time and the result is this amber, medium-bodied brew. With a nice malty backbone, this lager has roasty, slightly spicy notes and a traditional doughy character from the yeast. It is well worth the time he took to perfect it.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_161849.jpg",,Samuel Adams LongShot A Dark Night in Munich,212,80,false,Special,61,98,/beer/samuel-adams-longshot-a-dark-night-in-munich/161849/
"1,402",5.5,,"10,695",165,"Our Dunkel (""dark""), crafted in the traditional Bavarian manner, is a deep mahogany hued lager. Soft and elegant, with a rich, nutty palate and a malty, rounded finish, this beer is full-bodied, with a chewy texture and a firm, creamy, long-lasting head. made from a blend of five high-quality German malts and delicate noble hops, Queen City Dunkel is distinctive yet eminently drinkable.",30,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_262676.jpg",3.55,Queen City Munich Dunkel,11,79,false,,61,98,/beer/queen-city-munich-dunkel/262676/
"1,406",8.8,,"6,099",264,"This year's Anniversary beer is a special, ""doubled"" version of the Alt-Bier. We blended in a portion of Pugachev's Cobra that has been aging in rye barrels for over 16 months to make this a special beer for a special occasion.
You'll experience a caramel and roasty flavor with a spicy oak finish, and a rich malt aroma with hints of fruit esters and alcohol notes.",44,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_176667.jpg",3.89,Hangar 24 4th Anniversary Ale - Doppelsticke Alt,15,97,false,Special,64,100,/beer/hangar-24-4th-anniversary-ale--doppelsticke-alt/176667/
"1,409",7.7,,"7,720",231,"This fruity, estery double altbier is brewed in the traditional-ish style of the Doppelsticke, which is the widely known secret Germanic-esque strong ale. Like it's California Common counterpart, we fermented this ale at a lower temperature to pull out the sulphur-y bite from the yeast, then dry-hopped it with some dank, Sticky hops, including some brand-spankin'-new Enigma hops from the great Down Under!",66,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_360200.jpg",,Lagunitas Doppel Sticky,84,95,false,Autumn,64,99,/beer/lagunitas-doppel-sticky/360200/
"1,412",7,,"14,272",210,"Winternacht (winter night) captures the rich, roasty flavor enjoyed on the coldest nights. In the authentic German Altbier tradition, Winternacht is top-fermented to impart the character of an ale and cold-conditioned for the smoothness of a lager. Sipping Winternacht's hearty combination of specialty malts balanced with a slightly aggressive hop presence is a welcom warming from winter's icy chill.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_5590.jpg",,Widmer Brothers Winternacht,68,95,false,Winter,64,99,/beer/widmer-brothers-winternacht/5590/
"1,416",7.5,,"13,476",225,"Altitude - Alt Beer with Attitude is a limited edition release of the original recipe for the Headwall Alt. The original pilot batch was smooth, malty, full bodied but not the ""session beer"" Headwall Alt.  Beyond a classic Altbier but too good to forget, we knew we wanted to one day brew this novel beer again and share it with you.  everyone can occasionally use an Altitude adjustment!",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_164723.jpg",3.69,Tuckerman Altitude,16,91,false,Special,64,99,/beer/tuckerman-altitude/164723/
"1,418",6.6,,"6,150",198,"A more formidable version of the beloved alt style, this Sticke Alt has a medium-full body, a rich, complex flavor, and a clean German yeast character.

Appearance: Amber/brown with garnet and red hues
Aroma:  Chocolate, caramel, wheat, bready, slight fruity hop aroma
Mouth feel:  Medium-Full Body with a bitterness that cuts the sweet malt 
Taste:  Rich and complex malt profile with some noble hops in the finish and a clean yeast character from German Ale Yeast fermented at slightly cool temps 
Finish:  Sweet, slightly bitter, leaving you wanting another sip 
- See more at: http://www.harpoonbrewery.com/beer/403508/100-barrel-series-57-sticke-alt#sthash.pPneDiiw.dpuf",50,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_417542.jpg",3.61,Harpoon 100 Barrel Series #57 - Sticke Alt,27,90,false,Series,64,98,/beer/harpoon-100-barrel-series-57--sticke-alt/417542/
"1,419",8.7,,"13,842",261,"The Victory version of this ??secret' offering is inspired by the rich brewing heritage of the alt beers. It is a dark ale exhibiting the love of hops and mastery of malt that Victory has displayed for 10 years. Initially assertive with spicy hops, Ten Years Alt concludes ever so comfortably in rich, roasted malts and burnished hop character.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_56044.jpg",,Victory Ten Years Alt,392,89,false,Special,64,98,/beer/victory-ten-years-alt/56044/
"1,420",5.5,,"13,274",165,"Alt Bier inspired by our travels in D??sseldorf this past year and my grandfather, Joseph Trendler. Brewed with a blend of caramel malts and high-dried malts. This is a perfect beer for the colder months ahead.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_242963.jpg",3.62,Tired Hands Trendler Alt,25,89,false,,64,98,/beer/tired-hands-trendler-alt/242963/
"1,427",7.2,,"8,197",216,"This malty, full-bodied double alt is also known as ??Stickebier?? ?? German slang for ??secret brew??. Long Trail Double Bag was originally offered only in our brewery taproom as a special treat to our visitors. With an alcohol content of 7.2%, please indulge in moderation. The Long Trail Brewing Company is proud to have Double Bag named Malt Advocate's ??Beer of the Year?? in 2001. Malt Advocate is a national magazine devoted to ??expanding the boundaries of fine drinks??. Their panel of judges likes to keep things simple, and therefore of thousands of eligible competitors they award only two categories: ??Imported?? and ??Domestic??. It is a great honor to receive this recognition.",39,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_3046.jpg",,Long Trail Double Bag,659,86,false,,64,97,/beer/long-trail-double-bag/3046/
"1,430",6.6,,"11,957",198,"2014 Beer Camp Across America Release.
 Brewers are notorious for refusing to take the easy path. Instead, we lead with our hearts and pursue our passions no matter how difficult the road ahead. Alt Route is a tribute to this stubborn spirit that drove us to dodge the status quo and found breweries. Together we chased the siren song of beer with this revamped take on an antique beer style. 
Like us, Victory is one of the few brewers with an allegiance to whole-cone hops. They do extensive work with hop flavor, especially focusing on clever and delicious single-hop beers highlighting the same hop grown in different regions. They too share our roots in home brewing and never lost their passion for working with new beers and styles solely for the joy of making something new.    
Alt Route is our take on the old school German Altbier style featuring an ale-lager hybrid yeast, which is top fermenting and fruity like an ale, but matured at cool temperatures for a clean, lager-like flavor. This deep amber beer has a slight emphasis on the richly layered, slightly sweet malt body with enough citrusy hop flavor and aroma to produce a balanced, dry finish.",50,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_263176.jpg",,Sierra Nevada / Victory Beer Camp Alt Route,408,85,false,Series,64,96,/beer/sierra-nevada--victory-beer-camp-alt-route/263176/
"1,432",5,,503,150,"A top-fermented, dark ale brewed in the true German style. Made with Pale 2-row, Munich, Caramel, Chocolate and Black barley malts, this is a full-bodied ale that offers great depth. The word ???delicious??? doesn???t do this beer justice.
 
Now available as a Winter seasonal in November and December.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_788.jpg",,Schell Schmaltzs Alt,185,84,false,Winter,64,96,/beer/schell-schmaltzs-alt/788/
"1,433",5,,"13,842",150,Refreshing character with a pleasing depth of flavor.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_631.jpg",,Victory Altbier,47,83,false,,64,96,/beer/victory-altbier/631/
"1,434",5.9,,"6,290",177,Specially made for the  Pink Boots Scholarship.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_233654.jpg",3.49,Heater Allen Sticke Alt,27,81,false,Special,64,95,/beer/heater-allen-sticke-alt/233654/
"1,435",6,,"6,099",180,"Caramel, Toasty, and Clean. This red ale is our unique version of a

northern German Alt-Bier. Enjoy silky caramel smoothness, followed

by toasty, bready flavors and finished with a hint of chocolate roast.

These flavors all come through in the aroma and combine in a truly

unique, very clean, complex, Alt-Bier.

Additional Information:

Our Alt-Bier is very traditional except for one twist, chocolate

roasted malt. We decided to add the chocolate malt to add a little

more complexity to the beer and for a perceived dryness that helps

to balance the caramel malty flavor.",22,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_91489.jpg",,Hangar 24 Alt-Bier Ale,92,85,false,,64,96,/beer/hangar-24-alt-bier-ale/91489/
"1,436",7.8,,"13,573",234,"We brewed this over blown version of an Altbier to celebrate the life of a modest, giving, and truly loving man, our grandfather.  Victor was a dairy farmer in Nebraska.   He took a lot of pride in the fact that he helped feed America.  Victor cared about quality from the start and became the third Grade A dairy in all of Nebraska.  When he retired, he spent his time in his wood shop making everything from grandfather clocks to cedar chests.  He will be missed by many!

This beer uses the family chest that we found in his house.  The beer is much bigger and higher in alcohol than a traditional Altbier.  It has nice malt sweetness and deep chocolate characters in the start.  Then it finishes with a noticeable German floral hop bitterness.  17.9 plato 34 IBU",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_70465.jpg",,Two Brothers Victors MemoriAle Altbier,101,89,false,Special,64,96,/beer/two-brothers-victors-memoriale-altbier/70465/
"1,437",5.3,,"12,508",159,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_319023.jpg",3.54,Stone Liberty Station Space Bar Friends,14,80,false,,64,95,/beer/stone-liberty-station-space-bar-friends/319023/
"1,439",5.5,,"9,626",165,"Our take on Dusseldorf's broad style features our most complex grain bill, which produces a malty, amber beer with a lot of flavor. Saphir hops give it a spicy, noble aroma and delicious hop profile. Definitely on the hoppy side for this style of beer.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_154978.jpg",3.47,Occidental Alt,28,79,false,,64,94,/beer/occidental-alt/154978/
"1,440",7.5,,"9,274",225,"Junkyard Pedigree Copper Ale is a wonderfully smooth, yet strong copper ale featuring a complex, nutty-sweetness and an intriguing hop finish. Our modern interpretation of a Rhineland Dopplesticke, this complex beer creates a unique blend of easy-drinking refinement and macho bite.",70,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_392636.jpg",3.6,Neighborhood Junkyard Pedigree,10,79,false,,64,94,/beer/neighborhood-junkyard-pedigree/392636/
"1,441",5,,"13,711",150,"This lightly hopped, copper-colored ale is a style that originated in the northern 'tal' or valley of Germany commonly known as the Rhine Valley. The specific style is Altbier; 'alt' meaning 'old', referencing the time-honored practice of top-fermentation, which actually results in a fresh (not old) session ale with a slightly malty skew. ABV - 5.0%, IBUs - 38, OG - 12.0 Plato (Becher).",38,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_146211.jpg",3.47,Urban Chestnut Schlossturm,23,81,false,,64,94,/beer/urban-chestnut-schlossturm/146211/
"1,442",9.3,,"1,774",279,"Created by Samuel Adams employee Fred Hessler.   Fred wanted to go big or go home with his homebrew and decided to brew a kicked up Sticke Alt. This full-bodied ale has a big, malty character balanced by subtle orange and grapefruit notes from the hops. With a light amber color, this brew has a sweet finish.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_155874.jpg",,Samuel Adams LongShot Derf??s Secret Alt,222,78,false,Special,64,94,/beer/samuel-adams-longshot-derfs-secret-alt/155874/
"1,443",9.5,,"5,930",285,A sticke Altbier. 2010 - 8.3% 2012 - 9.5%.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_130360.jpg",3.48,Grimm Brothers Big Bad Wolf,20,78,false,Special,64,94,/beer/grimm-brothers-big-bad-wolf/130360/
"1,444",5.4,,"11,035",162,"Our Country Alt is open-fermented with our house saison strain. Dark and toasty, but refreshing with an accentuated bitterness. The beer references the old tradition of D??sseldorf Altbier, but with a Walloon accent.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_264045.jpg",3.48,Right Proper No Depression,18,77,false,,64,93,/beer/right-proper-no-depression/264045/
"1,457",10,,"5,426",300,"Rise and shine, buttercup - it's time for breakfast. This imperial version of our infamous Maple Bacon Coffee Porter adds some girthy gravity to the the smokey, salty, rich combo of maple syrup, fresh roasted coffee, and bacon.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_148014.jpg",,Funky Buddha Wide Awake It??s Morning,183,100,false,Special,90,100,/beer/funky-buddha-wide-awake-its-morning/148014/
